CODEX,CODASS,CR,CURS,Q,APR,NP,NC,NF,GR,QUATRI
231199,240011,6.0,2010,1,N,0.0,0.0,0.0,73,Q1
227422,240012,6.0,2010,1,N,2.0,2.0,2.0,11,Q1
227665,240012,6.0,2010,1,N,3.0,3.0,3.0,33,Q1
227703,240012,6.0,2010,1,N,3.4,3.4,3.4,33,Q1
227034,240012,6.0,2010,1,S,7.6,7.6,7.6,41,Q1
227700,240012,6.0,2010,1,S,7.8,7.8,7.8,41,Q1
227801,240012,6.0,2010,1,S,6.3,6.3,6.3,41,Q1
228190,240012,6.0,2010,1,S,5.0,5.0,5.0,41,Q1
227178,240011,6.0,2010,1,S,5.0,5.0,5.0,32,Q1
228695,240011,6.0,2010,1,N,3.1,3.1,3.1,33,Q1
228242,240012,6.0,2010,1,S,5.4,5.4,5.4,11,Q1
228315,240012,6.0,2010,1,S,5.4,5.4,5.4,11,Q1
228049,240011,6.0,2010,1,N,2.7,2.7,2.7,32,Q1
229121,240011,6.0,2010,1,S,6.2,6.2,6.2,32,Q1
229520,240011,6.0,2010,1,N,3.4,3.4,3.4,32,Q1
230157,240011,6.0,2010,1,N,4.4,4.4,4.4,32,Q1
227953,240012,6.0,2010,1,N,4.1,4.1,4.1,62,Q1
228099,240012,6.0,2010,1,S,7.0,7.0,7.0,31,Q1
228525,240012,6.0,2010,1,S,5.5,5.5,5.5,31,Q1
228628,240012,6.0,2010,1,S,6.6,6.6,6.6,31,Q1
